x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,posture
0.05025911,1.972545,-0.500375,1.020268,0.4571446,0.9792647,-0.4781041,0.3264045,0.5826387,0.4795329,0.2137069,0.4224088,0.1890141,1.057273,-0.268039,0.01561273,0.268039,-0.01561255,0.1382767,0.1721051,-0.04434192,0.49382,0.2181896,-0.9082969,-0.2513072,-0.3456507,0
0.09458541,1.973831,-0.4653829,1.025033,0.3842482,0.9733204,-0.3998522,0.3454662,0.6452056,0.4566867,0.296069,0.4123119,0.2882794,1.054554,-0.2381598,0.03060513,0.2381602,-0.03060513,0.4042144,0.1583422,0.1984902,0.4909682,0.4331641,-0.9408208,0.07803893,-0.3386023,0
0.1334605,1.975366,-0.3977679,1.028559,0.2796174,0.9679481,-0.2958895,0.3601089,0.6638765,0.4314884,0.3602211,0.3990255,0.3704495,1.050384,-0.1906983,0.04323375,0.190698,-0.04323393,0.6543516,0.1309179,0.4331477,0.4792698,0.6282609,-0.9946362,0.4047148,-0.3559137,0
0.1642265,1.97709,-0.3043303,1.030608,0.1522893,0.9636046,-0.1742016,0.3695567,0.6339567,0.4056821,0.4012589,0.383281,0.4295787,1.044977,-0.1296207,0.05256023,0.1296207,-0.05256005,0.8763448,0.09015387,0.6485701,0.4589341,0.7919185,-1.068413,0.7178769,-0.3976484,0
0.1844822,1.979172,-0.1930505,1.031219,0.01387001,0.9607385,-0.04322661,0.3734734,0.5546111,0.3813635,0.4153898,0.3660888,0.4606498,1.03878,-0.05990441,0.0579702,0.05990404,-0.05797039,1.056451,0.03687983,0.8329989,0.4305102,0.9120717,-1.159803,1.00549,-0.4639059,0
0.1923722,1.981989,-0.07212084,1.030683,-0.123312,0.9597452,0.08880128,0.3719237,0.4298863,0.3607622,0.4004768,0.348696,0.4601862,1.032453,0.01308043,0.05921146,-0.01308043,-0.05921128,1.179792,-0.02728746,0.9741179,0.3949891,0.9769388,-1.265059,1.253581,-0.5545384,0
0.1868367,1.985878,0.05075311,1.029393,-0.248063,0.9608505,0.2142845,0.3652625,0.268899,0.3458984,0.3564619,0.3324552,0.4267996,1.026712,0.08414342,0.0563643,-0.08414342,-0.05636449,1.231148,-0.09962253,1.059417,0.3538825,0.9762446,-1.378599,1.445493,-0.6686099,0
0.1677967,1.99081,0.1686894,1.027633,-0.3515666,0.9639878,0.3264162,0.3540138,0.08504434,0.3382296,0.2856049,0.3186688,0.3615957,1.022122,0.1486547,0.04977718,-0.1486547,-0.04977699,1.19666,-0.1759478,1.077042,0.3093112,0.9029908,-1.492673,1.561445,-0.8034894,0
0.1362501,1.996208,0.275612,1.025453,-0.4278382,0.9687459,0.4191224,0.3387937,-0.1056311,0.3383924,0.1925362,0.3084331,0.2684075,1.018952,0.2027176,0.03999584,-0.2027176,-0.03999584,1.06692,-0.2504221,1.017478,0.2641065,0.7557862,-1.597486,1.579351,-0.9536176,0
0.09429237,2.00103,0.3661024,1.02267,-0.4735885,0.9744399,0.4870129,0.3203133,-0.2865387,0.3461235,0.08407762,0.3025263,0.153811,1.017164,0.2432311,0.02771362,-0.2432307,-0.02771343,0.8413633,-0.3157668,0.8763296,0.2218268,0.5412908,-1.682137,1.478179,-1.109238,0
