@relation un_stand

@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute posture {0,1}

@data
-0.073775,1.928563,-0.115032,0.911842,-0.122581,1.073993,-0.124752,0.280784,-0.098939,0.337587,-0.004745,-0.318559,0.169434,-0.38596,0.004003,-0.00526,-0.004003,0.00526,0.057309,-1.07618,0.055458,-1.204393,-0.125573,-2.139318,-0.150949,-2.418084,1
-0.067675,1.932638,0.001548,0.914461,-0.244232,1.07076,0.021722,0.281765,-0.262569,0.336966,0.151693,-0.321644,-0.010383,-0.389806,0.071911,-0.005396,-0.07191,0.005396,0.130304,-1.08728,-0.022581,-1.211999,-0.039309,-2.142137,-0.229742,-2.408271,1
-0.057669,1.940213,0.118945,0.923292,-0.347735,1.063579,0.168485,0.284769,-0.405548,0.334781,0.302624,-0.328054,-0.192332,-0.390246,0.135864,-0.005726,-0.135864,0.005726,0.196064,-1.103889,-0.100569,-1.216489,0.049608,-2.157373,-0.2924,-2.393497,1
-0.044794,1.950118,0.23077,0.93763,-0.425626,1.052855,0.30821,0.289586,-0.516691,0.331197,0.44006,-0.337488,-0.360231,-0.387133,0.19147,-0.006232,-0.19147,0.006232,0.249855,-1.124773,-0.172921,-1.217112,0.135957,-2.18349,-0.334929,-2.374259,1
-0.029995,1.960181,0.330255,0.956111,-0.472531,1.038822,0.432863,0.295805,-0.588028,0.326362,0.555075,-0.34936,-0.499016,-0.380564,0.234533,-0.006878,-0.234533,0.006878,0.287235,-1.147879,-0.233979,-1.212938,0.214381,-2.217455,-0.354578,-2.35034,1
-0.014065,1.967773,0.410415,0.976884,-0.485533,1.021705,0.53376,0.302866,-0.615359,0.320431,0.638118,-0.362807,-0.596805,-0.370915,0.261443,-0.007615,-0.261443,0.007615,0.304558,-1.170602,-0.278556,-1.203202,0.27954,-2.255213,-0.350033,-2.321311,1
-0.007702,2.004544,0.479127,1.014383,-0.471627,0.985602,0.531269,0.277272,-0.562724,0.379501,-0.144153,0.30486,-0.1024,1.016768,0.27556,-0.001053,-0.27556,0.001052,0.167762,-0.389213,0.376249,0.162186,-0.01665,-1.753467,0.882069,-1.375514,0
-0.05968,2.002118,0.494323,1.008883,-0.427391,0.989997,0.502598,0.255139,-0.639478,0.401708,-0.245585,0.3127,-0.222993,1.017754,0.265785,-0.015737,-0.265784,0.015737,-0.214344,-0.387168,0.057674,0.151858,-0.306248,-1.731014,0.417629,-1.450199,0
-0.106855,1.997322,0.478962,1.002987,-0.358786,0.993399,0.439969,0.23456,-0.670538,0.425213,-0.327953,0.324177,-0.32562,1.019515,0.239346,-0.029425,-0.239346,0.029425,-0.571709,-0.358618,-0.265796,0.156905,-0.564837,-1.672561,-0.097844,-1.46726,0
-0.145754,1.991209,0.432595,0.997397,-0.270166,0.995996,0.346243,0.217112,-0.65727,0.448488,-0.385805,0.338406,-0.403084,1.022207,0.197885,-0.041298,-0.197885,0.041298,-0.868257,-0.307941,-0.561303,0.176633,-0.770109,-1.585985,-0.600251,-1.423825,0
-0.173792,1.985026,0.356511,0.992872,-0.16631,0.998063,0.226746,0.204278,-0.603707,0.470297,-0.416103,0.35439,-0.450905,1.025986,0.143801,-0.050639,-0.143801,0.050638,-1.080435,-0.241966,-0.801726,0.208518,-0.908589,-1.481497,-1.029287,-1.32785,0
-0.189379,1.979797,0.254021,0.990031,-0.05232,0.999772,0.089174,0.197271,-0.515412,0.489642,-0.418043,0.371077,-0.467238,1.030848,0.080142,-0.056847,-0.080143,0.056847,-1.198782,-0.168174,-0.969578,0.248875,-0.975642,-1.36944,-1.343262,-1.195011,0
-0.191907,1.976039,0.130758,0.989208,0.066271,1.001063,-0.056711,0.196871,-0.398713,0.505657,-0.392688,0.387393,-0.452499,1.036532,0.010556,-0.059455,-0.010556,0.059455,-1.225397,-0.093307,-1.057691,0.293637,-0.973576,-1.258762,-1.524749,-1.043491,0
-0.181675,1.973714,-0.005132,0.990407,0.183273,1.001644,-0.199685,0.20329,-0.260403,0.517557,-0.342599,0.402286,-0.408921,1.042523,-0.06072,-0.058158,0.06072,0.058158,-1.169786,-0.022686,-1.067512,0.338975,-0.909243,-1.156393,-1.577093,-0.889544,0
